item_id,total_sales_before_cutoff,dept_id,cat_id,sales_group,grouping_cutoff_date,selection_method,items_per_group
FOODS_3_090,907103,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_586,831158,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_252,508388,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_555,443974,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_714,360547,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_694,349597,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_587,344572,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_226,323517,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_635,272956,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_808,271715,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_541,264820,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_202,257029,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_723,253473,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_2_360,244548,FOODS_2,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_377,244095,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_318,243883,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_080,239870,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_120,233834,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_234,228462,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_1_218,212152,FOODS_1,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_376,211086,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_681,208503,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_607,201174,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_319,199741,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_099,190731,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_752,185381,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_295,180708,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_501,179422,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_491,179250,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_711,177281,FOODS_3,FOODS,top,2015-10-01,sales_volume_stratified_abc_inspired,30
FOODS_3_489,13152,FOODS_3,FOODS,middle,2015-10-01,sales_volume_stratified_abc_inspired,30
